CODIGO,UBICACIÓN,PRODUCTO,DESCRIPCIÓN,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO
S0285,,RADIO,RADIOS NEGROS,KENWOOD,,3,,,
S0286,AREA E,ATENUADOR,"ATENUADOR DE FIBRA ÓPTICA PLASTIC, LC/UPC, OS29/125/5DB, PARES",,CG2110229053-NC,5,,,
S0287,AREA E,ATENUADOR,"ATENUADOR DE FIBRA ÓPTICA PLASTIC, LC/UPC, OS29/125/3BD, PARES",,CG2109230174-NC,4,,,
S0288,,ADAPTADOR,"ADAPTADOR PARA ENLACES- VARIAS MARCAS, PIEZAS",VARIAS,VARIOS,8,8,,
S0289,AREA E,PINCELES,PINCELES VARIOS TAMAÑOS,,,4,,,
S0290,,PONCHADORA,PONCHADORA R-J45 AMARILLA,,,0,,,
S0291,,BROCA,"BROCA CON PUNTA DE CARBURO 1/4"", PARA TALADRO MARTILLO",MAKITA,D-24365,1,,,
S0292,,BROCA,"BROCA CON PUNTO DE CARBURO 5/16"", PARA TALADRO MARTILLO",MAKITA,D-24387,0,,,
S0293,AREA E,PINZAS,"PINZA PELADORA DE 3 PASOS, AMARILLA",CHINA,N,3,,,
S0294,,MODULOS,"MODULOS SFP-10G, 10GSFP+1270/1330 MM 10 KM, PARES",FS,BDLR,2,,,
S0295,,MODULOS,"MODULO SFP-10G-BX 10ESFP-1270, 1330NM 20KM, PARES",FS,LR,1,,,
S0296,,MODULOS,"MODULOS SFP-10G-8X40-1330,1270 40 KM, PARES",FS,BDER,1,,,
S0297,,MODULOS,MODULO GPON-OLT-CLASS C++ 38JO-6537E-C++,HUAWEI,38JO-6537E-C++,20,,,
S0298,,MODULOS,"MODULOS GPON-OLT-CLASS C++, OM5052, PIEZAS",HUAWEI,OSG002008,0,,,
S0299,,MODULOS,"MODULOS  10G-1550NM, 40KM, 5 M, SFP+",HUAWEI,MTRS-1560-01,0,,,
S0300,AREA E,CONECTOR JACK,"Conector Jack Estilo 110 (de Impacto), Tipo Keystone, Categoría 5e, de 8 posiciones y 8 cables, Color Rojo",PANDUIT,NKP5E88MRD,2,,,
S0301,AREA E,CONECTOR JACK,"Conector Jack Estilo 110 (de Impacto), Tipo Keystone, Categoría 5e, de 8 posiciones y 8 cables, Color Azul",PANDUIT,NKP5E88MBU,14,,,
S0302,AREA E,CONECTOR JACK,"Conector Jack Estilo 110 (de Impacto), Tipo Keystone, Categoría 6, de 8 posiciones y 8 cables, Color Blanco",PANDUIT,NK688MWH,1,,,
S0303,,CINCHO,CINCHO DE PLASTICO BLANCO 8 CM,N/A,N/A,-55,,,
S0304,AREA E,ETIQUETADORA,ETIQUETADORA BLANCA,BROTHER,PT-D400,1,,,
S0305,,CABLE,"CABLE CAT 5E UTP RJ45 TO RJ45 PATCH CORA CAT 5E, CLASS 5D, T568A, ROJO",PANDUIT,NK5EPC3RDY,2,,,
S0306,AREA A,CHAROLA,"CHAROLA PARA SOPORTAR EQUIPOS EN RACK 19"" DE USO MULTIPLE, 1 UNIDAD",LINKEDPRO,SCH19X1U,5,,,
S0307,,KIT DE FIBRA,"KIT DE FIBRA ÓPTICA, CORTADORA, MEDIDOR",EXFO,FOT-300,1,,,
S0308,AREA E,ADAPTADOR,Adaptador Macho Tipo Jack de 3.5 mm Polarizado de 12 Vcc / Terminales Tipo Tornillo / Polarizado (+/-) / Ideal para Cámaras de Video Vigilancia.,EPCOM POWERLINE,JR-52,20,,,
S0309,AREA H,FUSIONADORA,"kit de fusion estuche verde, fusionadora de fibra optica, roja, marca IOTHING, modelo IOT-68 / cortadora, maraca Eloik, modelo ALK-66A / cortadora fibra plana, verde / pinzas, negras / cargador de fusionadora",IOTHING,,1,,,
